sentence,label,id,token_count,char_count,avg_word_len,dep_depth,num_clauses,passive_voice_count,negation_count,hedge_count,num_financial_terms,num_entities,entity_density,flesch_reading_ease,flesch_kincaid_grade,complexity_score
`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral,339,15,78,5.273,4,1,0,0,0,0,1,0.0667,39.56,10.72,0.14669236281927053
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,neutral,340,38,196,5.25,11,2,0,0,0,0,5,0.1316,57.38,9.11,0.2551807698519181
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral,341,21,120,5.158,5,0,0,0,0,0,0,0.0,22.8,14.8,0.15908816509516002
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,342,44,229,5.5,6,1,0,0,0,0,10,0.2273,46.52,10.87,0.21652822811071357
"ALEXANDRIA , Va. , Oct. 3 -- Markka A. Oksanen and Harald Kaaja , both of Helsinki , Finland , Juha Salokannel of Kangasala , Finland , and Arto Palin of Viiala , Finland , have developed a system for providing communications security .",neutral,343,44,236,5.897,7,0,0,0,0,0,13,0.2955,18.32,14.8,0.21648232132652556
"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires .",neutral,344,30,167,5.115,7,1,0,0,0,0,5,0.1667,36.41,15.14,0.21897293421412245
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",neutral,345,32,145,4.773,4,0,0,0,0,0,7,0.2188,53.76,11.23,0.15462724855893462
"In April 2005 , Neste separated from its parent company , Finnish energy company Fortum , and became listed on the Helsinki Stock Exchange .",neutral,346,25,140,5.4,5,0,1,0,0,0,5,0.2,28.41,14.51,0.16526675238521168
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral,347,28,149,4.5,8,1,4,0,1,0,1,0.0357,63.5,11.11,0.2413097389932419
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral,348,20,102,4.588,5,0,2,0,0,0,3,0.15,67.33,8.59,0.12345877434903597
It has80 branches in Finland with annual revenue in Finland of ?,neutral,349,12,64,4.7,4,0,0,0,0,1,2,0.1667,57.23,8.01,0.09839794058089842
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,neutral,350,32,153,4.577,7,2,0,0,0,0,1,0.0312,48.64,9.58,0.22046175042859273
SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,neutral,351,20,113,4.722,6,0,0,0,0,1,4,0.2,70.8,5.62,0.11375574950929239
Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .,neutral,352,18,90,4.267,6,0,0,0,0,2,3,0.1667,73.8,5.08,0.10695009301704432
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,353,21,135,5.947,4,1,0,0,0,0,2,0.0952,18.35,15.42,0.18381940174045916
"The contract covers installation , training and start-up services .",neutral,354,12,67,6.111,6,0,0,0,0,0,0,0.0,18.94,12.61,0.13617505062363347
"The contract value amounts to about EUR11m , the company added .",neutral,355,13,64,4.6,4,1,0,0,1,0,2,0.1538,44.41,9.55,0.17813540424368912
To be number one means creating added value for stakeholders in everything we do .,neutral,356,15,82,4.786,5,2,0,0,0,0,1,0.0667,53.64,9.26,0.17295939006286024
"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",positive,357,45,243,5.079,8,4,0,0,0,0,6,0.1333,28.01,18.79,0.3575888087606838
- Provides summary of the medical equipment pipeline products that the company is developing .,neutral,358,15,94,6.0,6,1,0,0,0,0,0,0.0,17.93,13.99,0.17725376105645005
"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar .",neutral,359,50,280,5.209,11,5,0,0,0,0,4,0.08,25.47,20.39,0.42296783380540653
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,360,20,119,5.176,5,0,2,0,0,0,4,0.2,59.16,7.37,0.11683985073792487
"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",neutral,361,26,138,4.818,8,1,1,0,0,0,4,0.1538,54.75,11.34,0.19701493319543828
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,neutral,362,39,227,4.947,9,3,1,0,0,0,2,0.0513,23.55,19.41,0.327957095694196
"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,363,31,160,5.579,5,1,0,0,1,0,7,0.2258,37.21,9.97,0.22170802741751142
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,neutral,364,19,108,4.941,6,2,0,0,1,0,2,0.1053,61.67,9.13,0.2280829559853906
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,365,24,162,6.476,9,0,0,0,0,0,1,0.0417,12.29,16.76,0.20117682478011334
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,366,15,64,3.636,4,0,2,0,0,2,2,0.1333,109.13,-0.35,0.058855991291492736
Estonia 's beer market overall grew three percent last year to 130 million liters .,positive,367,15,83,5.25,4,0,0,0,0,0,4,0.2667,53.64,9.26,0.1109935780970483
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral,368,37,184,4.29,7,1,0,0,0,0,8,0.2162,45.16,15.16,0.2326473326314351
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive,369,35,200,5.357,6,1,0,0,0,1,8,0.2286,44.81,14.96,0.2212760377844862
Following the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral,370,20,108,4.615,4,0,0,0,0,0,2,0.1,55.05,7.07,0.10880199016100178
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral,371,15,64,3.7,6,0,0,0,0,0,2,0.1333,89.61,2.38,0.08648770202867223
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive,372,22,116,4.476,7,1,0,0,0,1,1,0.0455,64.66,9.46,0.17265308602290796
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,373,30,142,4.16,5,0,0,0,0,0,4,0.1333,60.05,11.34,0.15775832417138738
Rental of building equipment accounted for 88 percent of the operating income .,neutral,374,13,79,5.818,5,0,0,0,0,1,1,0.0769,32.5,11.71,0.1268199662095011
"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral,375,22,144,6.556,7,0,0,0,0,0,2,0.0909,40.61,12.31,0.16033754782846354
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,neutral,376,24,133,4.95,6,1,2,0,0,0,6,0.25,54.75,11.34,0.1803184513826774
"The broad-based WIG index ended Thursday 's session 0.1 pct up at 65,003.34 pts , while the blue-chip WIG20 was 1.13 down at 3,687.15 pts .",neutral,377,30,139,3.95,4,1,0,0,0,0,7,0.2333,95.0,1.5,0.1257404288722421
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,neutral,378,21,126,5.556,4,1,1,0,0,0,3,0.1429,30.03,14.04,0.17633242257379247
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,379,18,94,4.769,5,0,0,0,1,0,4,0.2222,61.24,6.71,0.15104981924567681
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive,380,18,119,6.062,4,1,0,0,1,0,1,0.0556,20.38,14.64,0.21544034408542037
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",neutral,381,16,100,6.462,4,0,0,0,0,0,0,0.0,18.41,13.67,0.13685734384317233
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",neutral,382,25,132,4.947,4,0,2,0,1,0,3,0.12,53.76,11.23,0.1827280237527331
The order also includes start-up and commissioning services .,neutral,383,11,61,5.667,3,0,0,0,0,0,0,0.0,18.94,12.61,0.11500629689674023
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral,384,18,115,6.333,6,1,0,0,0,0,0,0.0,5.49,16.22,0.19516623885037765
The phones are targeted at first time users in growth markets .,neutral,385,12,63,4.636,5,0,2,0,0,0,1,0.0833,80.31,4.79,0.08733857893559928
"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",neutral,386,35,218,5.897,8,1,2,0,0,0,3,0.0857,11.83,19.81,0.2604094846327768
The revenues of the business reached NOK 12 million for 2008 .,neutral,387,12,62,4.889,4,0,0,0,0,0,2,0.1667,80.31,4.79,0.08092832252534288
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral,388,14,64,4.333,5,0,0,0,0,0,4,0.2857,82.93,2.69,0.07982131876118069
"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",neutral,389,26,132,4.833,8,1,0,0,0,0,6,0.2308,71.82,5.23,0.1638660616676605
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",neutral,390,32,177,4.828,8,1,2,0,0,0,3,0.0938,52.31,13.42,0.21992756239440472
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,391,15,73,4.583,5,0,0,0,1,0,3,0.2,65.73,7.57,0.14990166436841582
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive,392,21,95,4.417,4,0,0,0,0,2,3,0.1429,83.75,3.69,0.0924023010460147
"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",negative,393,30,119,3.818,10,0,0,0,0,0,2,0.0667,68.69,8.9,0.17657175900044722
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral,394,31,181,5.64,5,3,2,0,0,0,5,0.1613,29.03,15.92,0.26787773227862255
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",positive,395,13,57,3.778,5,0,0,0,0,2,2,0.1538,85.89,2.65,0.07766632037616776
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,negative,396,24,138,5.333,9,1,2,0,0,1,2,0.0833,32.43,13.95,0.21370937686344663
"However , the growth margin slowed down due to the financial crisis .",negative,397,13,69,5.0,3,0,0,0,0,1,0,0.0,64.92,6.94,0.08812054713898827
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive,398,35,203,5.323,9,1,2,0,0,0,2,0.0571,22.54,17.82,0.256023300070811
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",positive,399,29,136,4.318,8,0,0,0,0,1,6,0.2069,89.44,2.77,0.12855588321158817
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",positive,400,47,242,5.059,6,2,2,0,0,1,9,0.1915,82.71,3.56,0.21046067118241898
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive,401,47,241,5.029,6,2,2,0,0,1,9,0.1915,85.0,3.24,0.20872456007130788
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,402,25,143,5.182,8,1,2,0,0,0,3,0.12,55.58,11.47,0.19578224383820317
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,positive,403,28,186,6.478,5,1,0,0,0,0,5,0.1786,22.76,16.79,0.21122827531802824
"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",positive,404,36,187,5.292,8,1,2,0,0,0,7,0.1944,44.58,10.52,0.2119459934344564
"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive,405,39,225,5.353,11,1,0,0,0,0,6,0.1538,25.52,18.15,0.27838611545915326
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,positive,406,23,132,5.05,4,1,0,0,0,1,2,0.087,38.38,13.37,0.17657340892715165
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",positive,407,23,104,3.824,5,2,0,0,0,2,4,0.1739,90.09,2.35,0.150974116726297
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,408,36,249,6.484,5,1,0,0,0,0,7,0.1944,3.13,21.27,0.25103770684257604
It estimates the operating profit to further improve from the third quarter .,positive,409,13,77,5.333,4,1,0,0,0,2,1,0.0769,46.61,9.74,0.13749955354924467
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive,410,32,232,6.452,10,0,0,0,0,0,4,0.125,3.44,20.48,0.24327324882602866
Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,positive,411,18,85,4.917,4,0,0,0,1,1,3,0.1667,59.68,8.41,0.15386265311319816
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,412,19,95,4.438,6,0,0,0,0,0,2,0.1053,85.16,5.85,0.11306559487427947
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,positive,413,18,99,4.765,4,0,0,0,0,0,2,0.1111,75.12,7.0,0.10454624686319818
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive,414,26,156,5.458,5,2,0,0,0,0,3,0.1154,32.68,14.41,0.22221775771466903
"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .",neutral,415,23,164,7.263,5,2,0,0,0,1,3,0.1304,-12.82,19.77,0.2454836653374081
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",neutral,416,21,131,5.5,5,0,0,0,0,1,3,0.1429,52.87,8.37,0.12420318245627111
"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",neutral,417,39,194,5.107,5,1,0,0,1,0,4,0.1026,42.17,15.33,0.2662917644976148
"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .",neutral,418,43,230,5.086,10,4,0,0,0,0,4,0.093,34.0,17.46,0.35931764078339296
"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .",neutral,419,39,217,6.435,4,1,0,0,0,0,5,0.1282,24.63,13.67,0.20920876503180283
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,positive,420,24,116,4.053,8,0,0,0,0,1,4,0.1667,99.74,1.25,0.11061943295319022
"The offer of some 30 million shares aimed to raise more than x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",neutral,421,31,154,4.762,7,4,3,0,1,0,4,0.129,68.75,7.15,0.30256239440469096
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,422,27,147,5.13,6,1,2,0,0,0,0,0.0,29.0,14.93,0.2056094013988273
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive,423,30,159,5.25,7,1,0,0,1,0,5,0.1667,36.36,13.9,0.25391217032523355
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,424,24,148,6.0,7,1,0,0,0,0,2,0.0833,13.11,16.4,0.21418096473737824
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,425,40,214,4.912,10,3,0,0,0,0,3,0.075,23.86,18.63,0.3320735657672431
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,426,40,212,4.781,8,1,0,0,0,0,5,0.125,67.76,6.79,0.1994613862800636
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",positive,427,44,231,4.914,11,2,0,0,0,0,6,0.1364,56.98,8.54,0.26371622891199564
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,428,15,82,4.786,4,1,2,0,0,0,0,0.0,53.64,9.26,0.13877135587482606
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,429,46,231,5.129,9,2,0,0,0,0,10,0.2174,47.56,11.1,0.2686605739726197
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",positive,430,34,162,4.615,6,2,0,0,0,0,7,0.2059,54.54,12.61,0.2343662650939177
The bank sees a potential for Getinge share to rise .,positive,431,11,53,4.2,4,1,0,0,0,0,1,0.0909,95.17,2.47,0.09418131025144105
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive,432,24,125,5.188,5,1,0,0,0,0,4,0.1667,55.18,8.17,0.15670984427797655
The cooperation will double The Switch 's converter capacity .,positive,433,10,62,6.25,3,0,0,0,0,0,1,0.1,19.1,12.83,0.11426188878950506
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,434,20,106,4.556,7,0,0,0,0,0,3,0.15,67.33,8.59,0.13627928716954882
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,435,27,149,4.857,5,1,0,0,0,0,6,0.2222,78.67,3.84,0.1390320442941264
"This truly takes efficiency to new heights , '' Mr. Metso adds .",positive,436,13,64,5.0,4,1,0,0,0,0,1,0.0769,61.33,7.19,0.12366491813257802
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive,437,26,128,4.722,5,0,0,0,0,1,5,0.1923,72.49,4.97,0.1154469243813357
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive,438,40,215,5.212,6,1,2,0,0,0,7,0.175,21.02,18.28,0.2489781130428841
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive,439,28,127,5.333,6,1,0,0,0,0,5,0.1786,64.45,5.76,0.15779695186717355
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive,440,36,167,4.423,5,2,2,0,1,2,5,0.1389,91.61,2.8,0.220275988092576
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,441,28,150,5.087,7,2,2,0,0,0,8,0.2857,30.9,14.91,0.24162691313854104
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive,442,27,156,5.435,6,0,0,0,0,0,5,0.1852,30.9,14.91,0.17772311667660504
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive,443,29,155,4.87,5,1,0,0,0,0,6,0.2069,83.1,3.28,0.13986981884193003
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,444,21,104,4.812,7,1,0,0,0,0,3,0.1429,71.07,7.82,0.16181753208233948
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",positive,445,32,187,5.345,5,0,0,0,0,0,6,0.1875,36.41,15.14,0.18225061260807993
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",positive,446,43,252,5.211,8,2,0,0,0,0,9,0.2093,33.33,13.7,0.270542266851769
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,447,18,82,4.286,5,0,0,0,0,0,2,0.1111,75.14,4.64,0.09815268382901014
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive,448,27,152,5.65,4,1,0,0,0,0,5,0.1852,52.87,12.1,0.17743515593942558
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral,449,32,210,6.069,6,1,2,0,0,0,1,0.0312,2.37,20.13,0.24351112943500297
The original contract was signed last summer .,neutral,450,8,46,5.429,2,0,2,0,0,0,1,0.125,54.7,7.37,0.07435326755366727
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,451,32,169,5.8,6,1,0,0,0,0,7,0.2188,39.56,10.72,0.1924586120738919
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive,452,19,96,4.4,8,0,0,0,0,0,2,0.1053,83.75,3.69,0.11416735769479229
The new technology improves the glass quality and consistency while increasing throughput .,positive,453,13,91,6.5,2,1,0,0,0,0,0,0.0,25.46,12.69,0.14068381503428742
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,454,35,205,5.467,8,1,2,0,0,1,1,0.0286,25.27,17.44,0.24755141171611014
"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",neutral,455,32,171,5.0,9,1,2,0,0,0,1,0.0312,27.51,15.88,0.2396841729713278
"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",neutral,456,26,132,4.667,10,2,2,0,0,0,4,0.1538,58.43,10.82,0.2347920432381733
"`` The number of collection errors fell considerably , and operations speeded up .",positive,457,15,82,5.909,4,0,0,0,0,0,0,0.0,18.78,13.37,0.13329175518038164
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",positive,458,21,118,5.053,5,1,0,0,0,0,1,0.0476,45.07,11.69,0.1699931130118267
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive,459,20,99,4.143,4,0,0,0,0,0,3,0.15,85.16,5.85,0.10218306654989066
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive,460,43,211,4.621,7,1,0,0,0,0,10,0.2326,55.44,10.12,0.2169314896081793
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,positive,461,57,257,4.306,7,1,0,0,2,0,11,0.193,78.33,5.32,0.3013549392205824
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,462,39,196,5.038,5,1,0,0,0,0,8,0.2051,68.15,5.34,0.1704258790809481
"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",positive,463,42,211,4.452,8,1,0,0,0,0,9,0.2143,66.37,8.47,0.212451938605645
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive,464,46,232,4.583,8,1,0,0,0,0,9,0.1957,74.02,5.42,0.2036565675623633
"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",positive,465,48,221,4.25,8,1,0,0,0,0,9,0.1875,76.56,7.55,0.21908852613794472
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",positive,466,28,138,4.381,4,0,0,0,0,0,5,0.1786,90.66,2.77,0.10097687307443848
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",positive,467,28,142,4.429,5,0,0,0,0,0,4,0.1429,79.76,5.36,0.12143877879025045
"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",positive,468,29,136,4.263,4,0,0,0,0,0,6,0.2069,76.5,5.82,0.1194621665983403
"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",positive,469,43,194,4.417,5,1,0,0,0,0,11,0.2558,68.98,7.61,0.19049335525988872
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,positive,470,26,135,5.0,4,0,0,0,1,0,3,0.1154,49.91,11.76,0.18754144227663486
